"ticker","date","log_return","z_score"
"SPY","2020-03-16",-0.115887,-10.143
"SPY","2020-03-12",-0.100569,-8.809
"SPY","2025-04-09",0.099863,8.649
"SPY","2020-03-24",0.086731,7.505
"SPY","2020-03-09",-0.081312,-7.132
"SPY","2020-03-13",0.082028,7.095
"SPY","2020-04-06",0.065007,5.613
"SPY","2025-04-04",-0.060327,-5.304
"SPY","2020-06-11",-0.059377,-5.221
"SPY","2020-03-26",0.056749,4.893
"TLT","2020-03-20",0.072503,7.737
"TLT","2020-03-17",-0.06901,-7.356
"TLT","2020-03-16",0.062755,6.697
"TLT","2020-03-18",-0.058067,-6.189
"TLT","2020-03-10",-0.052618,-5.608
"TLT","2020-03-06",0.050735,5.415
"TLT","2020-03-23",0.040383,4.311
"TLT","2022-11-10",0.037752,4.031
"TLT","2020-03-11",-0.037492,-3.995
"TLT","2022-03-02",-0.03478,-3.705
"GLD","2026-01-30",-0.108412,-10.511
"GLD","2025-10-21",-0.066427,-6.461
"GLD","2026-02-03",0.061647,5.896
"GLD","2020-08-11",-0.05519,-5.377
"GLD","2020-03-24",0.04739,4.52
"GLD","2026-03-03",-0.045638,-4.455
"GLD","2020-11-09",-0.045281,-4.421
"GLD","2025-12-29",-0.044504,-4.346
"GLD","2026-06-10",-0.042339,-4.137
"GLD","2020-03-23",0.043231,4.119
"BTC-USD","2020-03-12",-0.46473,-13.082
"BTC-USD","2017-12-07",0.225119,6.286
"BTC-USD","2017-07-20",0.214596,5.99
"BTC-USD","2017-09-14",-0.20753,-5.861
"BTC-USD","2018-01-16",-0.184582,-5.217
"BTC-USD","2017-12-06",0.181724,5.067
"BTC-USD","2022-06-13",-0.174053,-4.921
"BTC-USD","2018-02-05",-0.173982,-4.919
"BTC-USD","2021-02-08",0.171821,4.789
"BTC-USD","2020-03-19",0.167104,4.657
